letter,frequency
НА,3.24
АТ,1.86
ТА,1.81
НИ,1.76
ТЕ,1.72
РА,1.69
ОТ,1.62
СТ,1.61
ТО,1.54
КО,1.46
ВА,1.46
ВО,1.45
ЕН,1.41
ОД,1.38
ПР,1.27
ПЕ,1.23
КА,1.22
ИТ,1.20
ПО,1.19
НО,1.16
ЗА,1.13
ДА,0.98
ЈА,0.98
СЕ,0.96
УВ,0.90
РИ,0.90
ОВ,0.89
ТИ,0.87
ЛИ,0.86
РО,0.84
