letter,frequency
ИТЕ,1.26
АТА,1.15
УВА,1.12
ИЈА,0.71
АЉЕ,0.64
СТА,0.61
ОСТ,0.58
ВАЉ,0.48
ПРО,0.48
ПРЕ,0.48
ЕТО,0.43
ИСТ,0.41
РЕД,0.41
АКО,0.41
НАТ,0.39
ИРА,0.37
ШТО,0.36
НОС,0.36
ЕНИ,0.36
АНИ,0.35
ПРИ,0.34
ИОТ,0.33
НИТ,0.33
ОТО,0.32
ААТ,0.32
ОВИ,0.31
РАН,0.31
ИНА,0.31
СКИ,0.30
МЕН,0.29
